sample_id,location_id,location,time_id,group_id,allbirds_HP,dna_stringency_med,dna_or_hp,both_bird,same_bird
GI-1/17-7,GI,Gabo Island,Jan_17,GI_Jan_17,0,0,0,0,0
GI-1/17-8,GI,Gabo Island,Jan_17,GI_Jan_17,0,0,0,0,0
GI-1/17-9,GI,Gabo Island,Jan_17,GI_Jan_17,0,0,0,0,0
LJP-3/17-1,LJP,Lady Julia Percy,Mar_17,LJP_Mar_17,0,1,1,0,0
MI-1/17-1,MI,Montague Island,Jan_17,MI_Jan_17,0,0,0,0,0
MI-1/17-10,MI,Montague Island,Jan_17,MI_Jan_17,1,0,1,0,0
MI-1/17-2,MI,Montague Island,Jan_17,MI_Jan_17,0,0,0,0,0
MI-1/17-3,MI,Montague Island,Jan_17,MI_Jan_17,0,1,1,0,0
MI-1/17-4,MI,Montague Island,Jan_17,MI_Jan_17,0,0,0,0,0
MI-1/17-5,MI,Montague Island,Jan_17,MI_Jan_17,1,1,1,1,1
MI-1/17-6,MI,Montague Island,Jan_17,MI_Jan_17,1,1,1,1,1
MI-1/17-7,MI,Montague Island,Jan_17,MI_Jan_17,1,0,1,0,0
MI-1/17-8,MI,Montague Island,Jan_17,MI_Jan_17,1,1,1,1,1
MI-9/16-1,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-10,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-11,MI,Montague Island,Sep_16,MI_Sep_16,0,1,1,0,0
MI-9/16-12,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-13,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-14,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-15,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-16,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-17,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-18,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-19,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-2,MI,Montague Island,Sep_16,MI_Sep_16,1,0,1,0,0
MI-9/16-20,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-3,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-4,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-5,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-6,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-7,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-8,MI,Montague Island,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-9,MI,Montague Island,Sep_16,MI_Sep_16,0,1,1,0,0
